id	kategorija	pitanje	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	dohvaceni_ids	odgovor	t_dohvat	t_generiranje
T11	izravni	Koliko najdulje može trajati probni rad?	Zakon_o_radu_clanak_57	Zakon_o_radu_clanak_53	Zakon_o_radu_clanak_130	Zakon_o_radu_clanak_139	Zakon_o_radu_clanak_67	Zakon_o_radu_clanak_122	Zakon_o_radu_clanak_133	Zakon_o_radu_clanak_12	Zakon_o_radu_clanak_68_dio_2	Na temelju prona?enih ?lanaka zakona, probni rad može trajati najduže šest mjeseci. Me?utim, ako je radnik bio privremeno odsutan, osobito zbog privremene nesposobnosti za rad, korištenja rodiljnih i roditeljskih prava prema posebnom propisu i korištenja prava na pla?eni dopust iz ?lanka 86. ovoga Zakona, trajanje probnog rada može se produžiti razmjerno dužini trajanja nenazo?nosti na probnom radu tako da ukupno trajanje probnog rada prije i nakon njegova prekida ne može biti duže od šest mjeseci.	0.0482807	28.1357578
T12	izravni	Koliko najdulje može trajati ugovor o radu na odre?eno vrijeme?	Zakon_o_radu_clanak_12	Zakon_o_radu_clanak_18_dio_3	Zakon_o_radu_clanak_53	Zakon_o_radu_clanak_67	Zakon_o_radu_clanak_130	Zakon_o_radu_clanak_66	Zakon_o_radu_clanak_48	Zakon_o_radu_clanak_128	Zakon_o_radu_clanak_18	"Na temelju ?lanka 12. Zakona, ugovor o radu na odre?eno vrijeme može trajati najdulje tri godine. Me?utim, postoje iznimke koje dopuštaju trajanje ugovora duže od tri godine. Prema ?lanku 12. stavku 7., ugovor o radu na odre?eno vrijeme može trajati neprekinuto duže od tri godine u sljede?im slu?ajevima:

1. Ako je to potrebno zbog zamjene privremeno nenazo?nog radnika.
2. Ako je to potrebno zbog dovršetka rada na projektu koji uklju?uje financiranje iz fondova Europske unije.
3. Ako je to zbog nekih drugih objektivnih razloga dopušteno posebnim zakonom ili kolektivnim ugovorom.

U tim slu?ajevima, ugovor o radu na odre?eno vrijeme može trajati neprekinuto duže od tri godine, ali ne duže od tri godine bez prekida."	0.1242561	28.9742069
T13	izravni	Što mora sadržavati ugovor o radu?	Zakon_o_radu_clanak_10	Zakon_o_radu_clanak_17_dio_2	Zakon_o_radu_clanak_90_dio_2	Zakon_o_radu_clanak_110	Zakon_o_radu_clanak_18_dio_4	Zakon_o_radu_clanak_15	Zakon_o_radu_clanak_221_dio_13	Zakon_o_radu_clanak_23	Zakon_o_radu_clanak_136	"Ugovor o radu mora sadržavati sljede?e podatke:

- Podatke o strankama i njihovu osobnom identifikacijskom broju te prebivalištu, odnosno sjedištu (?lanak 15. stavak 1.),
- Mjesto rada, a ako zbog prirode posla ne postoji stalno ili glavno mjesto rada ili je ono promjenjivo, podatak o razli?itim mjestima na kojima se rad obavlja ili bi se mogao obavljati (?lanak 15. stavak 1.),
- Naziv radnog mjesta, odnosno naravi ili vrsti rada na koje se radnik zapošljava ili kratak popis ili opis poslova (?lanak 15. stavak 1.),
- Datum sklapanja ugovora o radu i datum po?etka rada (?lanak 15. stavak 1.),
- To?no li se ugovor sklapan na neodre?eno ili na odre?eno vrijeme te o datumu prestanka ili o?ekivanom trajanju ugovora u slu?aju ugovora o radu na odre?eno vrijeme (?lanak 15. stavak 1.),
- Trajanje pla?enoga godišnjeg odmora na koji radnik ima pravo, a ako se radi o radniku koji je zapošljen na izdvojenom mjestu rada ili na daljinu, podatak o organizaciji rada koja omogu?ava dostupnost radnika i njegov neometani pristup poslovnom prostoru te informacijama i profesionalnoj komunikaciji s ostalim radnicima i poslodavcem (?lanak 17. stavak 1.),
- Na?in evidentiranja radnog vremena (?lanak 17. stavak 1.),
- Sredstva rada za obavljanje poslova koje je poslodavac dužan nabaviti, instalirati i održavati odnosno uporabi vlastitih sredstava rada radnika, ako ih koristi, te naknadi troškova u vezi s tim (?lanak 17. stavak 1.),
- Naknadi troškova nastalih zbog obavljanja posla, koje je poslodavac dužan naknaditi radniku ako je rad ugovoren kao stalan ili kada razdoblje rada tijekom jednog kalendarskog mjeseca traje duže od sedam radnih dana, osim ako kolektivnim ugovorom ili ugovorom o radu nije ugovoreno povoljnije (?lanak 17. stavak 1.),
- Na?inu ostvarivanja prava na sudjelovanje radnika u odlu?ivanju, jednako kao i za ostale zaposlene kod toga poslodavca (?lanak 17. stavak 1.),
- Trajanju rada odnosno o na?inu utvr?ivanja trajanja takvog rada (?lanak 17. stavak 1.),
- Podatku o pravu radnika da slobodno odre?uje gdje ?e obavljati rad (?lanak 17. stavak 2.),
- Podacima iz ?lanka 15. stavka 1. ovoga Zakona (?lanak 17. stavak 2.),
- Podacima iz stavka 1. ovoga ?lanka, osim to?aka 3. i 4. ?iju primjenu radnik i poslodavac mogu ugovoriti (?lanak 17. stavak 2.)."	0.0619584	30.1748768
T14	izravni	Koji je otkazni rok pri redovitom otkazu?	Zakon_o_radu_clanak_122	Zakon_o_radu_clanak_121	Zakon_o_radu_clanak_128	Zakon_o_radu_clanak_104	Zakon_o_radu_clanak_130	Zakon_o_radu_clanak_47	Zakon_o_radu_clanak_125	Zakon_o_radu_clanak_116	Zakon_o_radu_clanak_213	"Prema ?lanku 122. Zakona, otkazni rok pri redovitom otkazu ovisi o trajanju radnog odnosa. Prema toj odredbi, otkazni rok je najmanje:

- dva tjedna, ako je radnik u radnom odnosu kod istog poslodavca proveo neprekidno manje od jedne godine
- mjesec dana, ako je radnik u radnom odnosu kod istog poslodavca proveo neprekidno jednu godinu
- mjesec dana i dva tjedna, ako je radnik u radnom odnosu kod istog poslodavca proveo neprekidno dvije godine
- dva mjeseca, ako je radnik u radnom odnosu kod istog poslodavca proveo neprekidno pet godina
- dva mjeseca i dva tjedna, ako je radnik u radnom odnosu kod istog poslodavca proveo neprekidno deset godina
- tri mjeseca, ako je radnik u radnom odnosu kod istog poslodavca proveo neprekidno dvadeset godina.

Osim toga, ako radnik u trenutku otkazivanja ugovora o radu ima navršenih 65 godina života i 15 godina mirovinskog staža, ne ostvaruje pravo na otkazni rok."	0.0481051	31.1012194
T15	izravni	Kada radnik ima pravo na otpremninu?	Zakon_o_radu_clanak_138	Zakon_o_radu_clanak_221_dio_10	Zakon_o_radu_clanak_86	Zakon_o_radu_clanak_87	Zakon_o_radu_clanak_37	Zakon_o_radu_clanak_133	Zakon_o_radu_clanak_27	Zakon_o_radu_clanak_130	Zakon_o_radu_clanak_7	"Na temelju prona?enih ?lanaka zakona, radnik ima pravo na otpremninu (pla?eni dopust) u slu?ajevima koji su navedeni u ?lanku 86. Zakona o radu. Prema ?lanku 86. stavak 1., radnik ima pravo na oslobo?enje od obveze rada uz naknadu pla?e (pla?eni dopust) za važne osobne potrebe, kao što su:

- sklapanje braka
- ro?enje djeteta
- teža bolest ili smrt ?lana uže obitelji

Prema ?lanku 86. stavak 2., radnik ima pravo na dopust iz stavka 1. ovoga ?lanka u ukupnom trajanju od sedam radnih dana godišnje, ako to nije druk?ije ure?eno kolektivnim ugovorom, pravilnikom o radu ili ugovorom o radu.

Prema ?lanku 86. stavak 5., radnik po osnovi svakog darivanja krvi ostvaruje pravo na jedan pla?eni slobodan dan koji koristi na dan darivanja krvi ili prvi idu?i radni dan, osim ako se s poslodavcem ne dogovori druk?ije ili je kolektivnim ugovorom, sporazumom sklopljenim izme?u radni?kog vije?a i poslodavca, pravilnikom o radu ili ugovorom o radu druk?ije ure?eno.

Prema ?lanku 86. stavak 10., pla?eni dopust iz stavka 1. ovoga ?lanka radnik koristi u vrijeme ili neposredno nakon nastanka doga?aja zbog kojeg ostvaruje pravo na njegovo korištenje.

Prema ?lanku 87. stavak 3., radnik ima pravo na nepla?eni dopust u ukupnom trajanju od pet radnih dana godišnje za pružanje osobne skrbi.

Prema ?lanku 87. stavak 4., pod pružanjem osobne skrbi, u smislu ovoga Zakona, smatra se skrb koju radnik pruža ?lanu uže obitelji ili osobi koja živi u istom ku?anstvu i koja joj je potrebna zbog ozbiljnog zdravstvenog razloga.

Prema ?lanku 87. stavak 6., poslodavac može, u svrhu odobravanja prava na dopust za pružanje osobne skrbi, zatražiti od radnika dokaz o postojanju ozbiljnog zdravstvenog razloga osobe iz stavka 4. ovoga ?lanka.

Prema ?lanku 87. stavak 7., tijekom razdoblja korištenja prava na pružanje osobne skrbi poslodavac ne smije radnika koji se koristi tim pravom odjaviti iz obveznih osiguranja prema propisima o obveznim osiguranjima.

Prema ?lanku 133. stavak 1., radnik koji smatra da mu je poslodavac povrijedio neko pravo iz radnog odnosa može u roku od petnaest dana od dostave odluke kojom je povrije?eno njegovo pravo, odnosno od saznanja za povredu prava, zahtijevati od poslodavca ostvarenje toga prava.

Prema ?lanku 133. stavak 2., ako poslodavac u roku od petnaest dana od dostave zahtjeva radnika iz stavka 1. ovoga ?lanka ne udovolji tom zahtjevu, radnik može u daljnjem roku od petnaest dana zahtijevati zaštitu povrije?enog prava pred nadležni sud.

Prema ?lanku 221. stavak 1., radnik koji smatra da mu je odlukom donesenom u automatiziranom sustavu upravljanja, a osobito odlukom vezanom za pristup radnim zadacima, o radnom vremenu, o mogu?nosti napredovanja i osposobljavanja te odlukom vezanom za obra?un i isplatu pla?e te naknada povrije?eno pravo iz radnog odnosa ima pravo u rokovima propisanima ?lankom 133. ovoga Zakona zatražiti od poslodavca zaštitu svojih prava te zatražiti pisano obrazloženje, kao i preispitivanje pojedine odluke.

Prema ?lanku 221. stavak 2., ovlaštenje za stru?no obrazloženje odluke te odlu?ivanje nakon preispitivanja odluke ima osoba iz ?lanka 221.g stavka 1. to?ke 4. ovoga Zakona.

Prema ?lanku 221. stavak 1., radnik koji smatra da mu je odlukom donesenom u automatiziranom sustavu upravljanja, a osobito odlukom vezanom za pristup radnim zadacima, o radnom vremenu, o mogu?nosti napredovanja i osposobljavanja te odlukom vezanom za obra?un i isplatu pla?e te naknada povrije?eno pravo iz radnog odnosa ima pravo u rokovima propisanima ?lankom 133. ovoga Zakona zatražiti od poslodavca zaštitu svojih prava te zatražiti pisano obrazloženje, kao i preispitivanje pojedine odluke.

Prema ?lanku 221. stavak 2., ovlaštenje za stru?no obrazloženje odluke te odlu?ivanje nakon preispitivanja odluke ima osoba iz ?lanka 221.g stavka 1. to?ke 4. ovoga Zakona.

Prema ?lanku 221. stavak 1., radnik koji smatra da mu je odlukom donesenom u automatiziranom sustavu upravljanja, a osobito odlukom vezanom za pristup radnim zadacima, o radnom vremenu, o mogu?nosti napredovanja i osposobljavanja te odlukom vezanom za obra?un i isplatu pla?e te naknada povrije?eno pravo iz radnog odnosa ima pravo u rokovima propisanima ?lankom 133. ovoga Zakona zatražiti od poslodavca zaštitu svojih prava te zatražiti pisano obrazloženje, kao i preispitivanje pojedine odluke.

Prema ?lanku 221. stavak 2., ovlaštenje za stru?no obrazloženje odluke te odlu?ivanje nakon preispitivanja odluke ima osoba iz ?lanka 221.g stavka 1. to?ke 4. ovoga Zakona.

Prema ?lanku 221. stavak 1., radnik koji smatra da mu je odlukom donesenom u automatiziranom sustavu upravljanja, a osobito odlukom vezanom za pristup radnim zadacima, o radnom vremenu, o mogu?nosti napredovanja i osposobljavanja te odlukom vezanom za obra?un i isplatu pla?e te naknada povrije?eno pravo iz radnog odnosa ima pravo u rokovima propisanima ?lankom 133. ovoga Zakona zatražiti od poslodavca zaštitu svojih prava te zatražiti pisano obrazloženje, kao i preispitivanje pojedine odluke.

Prema ?lanku 221. stavak 2., ovlaštenje za stru?no obrazloženje odluke te odlu?ivanje nakon preispitivanja odluke ima osoba iz ?lanka 221.g stavka 1. to?ke 4. ovoga Zakona.

Pre"	0.084232	37.2111697
T16	izravni	Što je izvanredni otkaz ugovora o radu?	Zakon_o_radu_clanak_114	Zakon_o_radu_clanak_47	Zakon_o_radu_clanak_104	Zakon_o_radu_clanak_126	Zakon_o_radu_clanak_116	Zakon_o_radu_clanak_123	Zakon_o_radu_clanak_115	Zakon_o_radu_clanak_117	Zakon_o_radu_clanak_188	"Izvanredni otkaz ugovora o radu je pravo poslodavca ili radnika da otkaze ugovor o radu bez obveze poštivanja propisanog ili ugovorenog otkaznog roka, ukoliko postoje osobito teške razlozi koji ?ine nastavak radnog odnosa nemogu?im. Izvanredni otkaz se može temeljiti na osobito teškoj povredi obveze iz radnog odnosa ili nekoj drugoj osobito važnoj ?injenici.

Prema ?lanku 116. Zakona, izvanredni otkaz se može temeljiti na sljede?im razlozima:

- osobito teška povreda obveze iz radnog odnosa
- neka druga osobito važna ?injenica

Izvanredni otkaz mora biti izražen u roku od petnaest dana od dana saznanja za ?injenicu na kojoj se izvanredni otkaz temelji. Stranka ugovora o radu koja izvanredno otkaže ugovor o radu ima pravo od stranke koja je kriva za otkaz tražiti naknadu štete zbog neizvršenja ugovorom o radu preuzetih obveza."	0.0572186	31.9172678
T17	izravni	Do kada poslodavac mora isplatiti pla?u?	Zakon_o_radu_clanak_90	Zakon_o_radu_clanak_130	Zakon_o_radu_clanak_103	Zakon_o_radu_clanak_97	Zakon_o_radu_clanak_126	Zakon_o_radu_clanak_228	Zakon_o_radu_clanak_102	Zakon_o_radu_clanak_95	Zakon_o_radu_clanak_92	Na temelju prona?enih ?lanaka zakona, pla?a mora biti ispla?ena radniku u roku od 15 dana od kraja mjeseca u kojem je radnik radio. Ovo je propisano u ?lanku 90. stavku 2. Zakona o radu, koji kaže da poslodavac mora obra?unati i isplatiti pla?u radniku u roku od 15 dana od kraja mjeseca u kojem je radnik radio.	0.0547471	34.8844738
T18	izravni	Postoje li posebna pravila za no?ni rad?	Zakon_o_radu_clanak_70	Zakon_o_radu_clanak_72	Zakon_o_radu_clanak_69	Zakon_o_radu_clanak_89	Zakon_o_radu_clanak_94	Zakon_o_radu_clanak_19_dio_3	ZAKON_O_DRŽAVNIM_BLAGDANIMA_SPOMENDANIMA_I_NERADNIM DANIMA_clanak_1	Zakon_o_radu_clanak_28	Zakon_o_radu_clanak_86	"Da, postoje posebna pravila za no?ni rad. Prema ?lanku 70. Zakona o radu, zabranjen je no?ni rad maloljetnika, osim ako je takav rad privremeno prijeko potreban u djelatnostima koje su ure?ene posebnim propisima, a ne mogu ga obaviti punoljetni radnici.

U slu?aju no?nog rada, poslodavac je dužan osigurati da se takav rad obavlja pod nadzorom punoljetne osobe (?lanak 70. stavak 2.).

Prema ?lanku 72. Zakona o radu, poslodavac je pri organizaciji no?nog rada ili rada u smjeni dužan voditi osobitu brigu o organizaciji rada prilago?enoj radniku te o sigurnosnim i zdravstvenim uvjetima u skladu s naravi posla koji se obavlja no?u ili u smjeni.

Tako?er, ?lanak 72. Zakona o radu propisuje da poslodavac mora osigurati sigurnost i zdravstvenu zaštitu no?nim i smjenskim radnicima u skladu s naravi posla koji se obavlja, kao i sredstva zaštite i prevencije koja odgovaraju i primjenjuju se na sve ostale radnike i dostupna su u svako doba.

Kao i to da poslodavac mora omogu?iti zdravstvene preglede no?nim radnicima prije po?etka toga rada, kao i redovito tijekom trajanja rada no?nog radnika, u skladu s propisom iz stavka 8. ovoga ?lanka.

U slu?aju da se zdravstvenim pregledom utvrdi da no?ni radnik zbog no?nog rada ima zdravstvenih problema, poslodavac mu je dužan rasporedom radnog vremena osigurati obavljanje istih poslova izvan no?nog rada (?lanak 72. stavak 6.).

Zakon tako?er propisuje da no?ni radnik ne smije tijekom razdoblja od ?etiri mjeseca u no?nom radu raditi duže od prosje?nih osam sati tijekom svakih dvadeset ?etiri sata (?lanak 69. stavak 6.).

Kona?no, ?lanak 89. Zakona o radu propisuje da poslodavac može za punoljetne radnike urediti iznimke od primjene odredbi o trajanju rada no?nog radnika, dnevnom i tjednom odmoru, pod uvjetom da je radniku osiguran zamjenski odmor u skladu sa stavcima 2. i 3. ovoga ?lanka."	0.0501884	23.9354199
T19	izravni	U kojem roku potroša? može jednostrano raskinuti ugovor sklopljen na daljinu?	Zakon_o_zastiti_potrosaca_clanak_81	Zakon_o_zastiti_potrosaca_clanak_85	Zakon_o_zastiti_potrosaca_clanak_73	Zakon_o_zastiti_potrosaca_clanak_112	Zakon_o_zastiti_potrosaca_clanak_86	Zakon_o_zastiti_potrosaca_clanak_98	Zakon_o_zastiti_potrosaca_clanak_79	Zakon_o_zastiti_potrosaca_clanak_69	Zakon_o_zastiti_potrosaca_clanak_60	Na temelju prona?enih ?lanaka zakona, potroša? može jednostrano raskinuti ugovor sklopljen na daljinu u roku od 14 dana od dana kada je primio ponudu trgovca, a potom potvrdio svoju suglasnost o sklapanju ugovora. To je propisano u ?lanku 73. Zakona, koji govori da ugovor iz stavka 1. ovoga ?lanka smatra se sklopljenim kad potroša?, nakon primitka ponude, dostavi trgovcu potvrdu svoje suglasnosti o sklapanju ugovora.	0.0957038	34.8478119
T20	izravni	Tko snosi troškove povrata robe pri jednostranom raskidu?	Zakon_o_radu_clanak_93	Zakon_o_zastiti_potrosaca_clanak_16	Zakon_o_radu_clanak_81	Zakon_o_zastiti_potrosaca_clanak_69	Zakon_o_radu_clanak_108	Zakon_o_radu_clanak_92	Zakon_o_zastiti_potrosaca_clanak_98	Zakon_o_radu_clanak_126	Zakon_o_zastiti_potrosaca_clanak_15	Na temelju ?lanka 98. Zakona, u slu?aju jednostranog raskida ugovora iz ?lanka 95. Zakona, potroša? ne odgovara za štetu koju je trgovac zbog toga pretrpio te nije dužan platiti nikakvu kaznu ili naknadu za raskid ugovora. Zbog toga, troškove povrata robe pri jednostranom raskidu snosi trgovac.	0.0678958	41.8343711
T21	izravni	Mora li trgovac istaknuti cijenu proizvoda?	Zakon_o_zastiti_potrosaca_clanak_46	Zakon_o_zastiti_potrosaca_clanak_7	Zakon_o_zastiti_potrosaca_clanak_51	Zakon_o_zastiti_potrosaca_clanak_13	Zakon_o_zastiti_potrosaca_clanak_21	Zakon_o_zastiti_potrosaca_clanak_8	Zakon_o_zastiti_potrosaca_clanak_29	Zakon_o_zastiti_potrosaca_clanak_69	Zakon_o_zastiti_potrosaca_clanak_9	"Da, trgovac mora istaknuti cijenu proizvoda. Prema ?lanku 7. Zakona o zaštiti potroša?a, trgovac mora jasno, vidljivo i ?itljivo istaknuti iznos maloprodajne cijene i cijene za jedinicu mjere proizvoda koju pruža. Ovo se odnosi na sve proizvode koji se prodaju u trgovini, osim u slu?ajevima iz ?lanka 8. stavka 4. i glave II. ovoga dijela Zakona.

Prema ?lanku 7. stavku 1., trgovac mora istaknuti cijenu proizvoda na proizvodu ili na prodajnom mjestu. Cijena za jedinicu mjere nije potrebno istaknuti ako je istovjetna s maloprodajnom cijenom proizvoda. Kod proizvoda u rasutom stanju isti?e se samo cijena za jedinicu mjere na prodajnome mjestu proizvoda.

Trgovac mora cijenu istaknuti tako da ne ošte?uje proizvod. Odredbe ovoga ?lanka ne primjenjuju se na javnu dražbu i prodaju umjetni?kih djela i antikviteta te na cijene usluga ure?ene posebnim propisima.

U slu?aju da trgovac ne ispuni ovu odredbu, on ?e biti odgovoran za nepravilan rad."	0.054734	28.2302659
